광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
경기도,수원시,2019,2015년 기준년가격(연쇄),34484604,2206145,32279473,10407,-,4854561,36502,1414876,1944586,701887,884428,631620,2257255,2578056,8389567,4141905,1885389,1628547,929018
경기도,수원시,2020,2015년 기준년가격(연쇄),30753882,2237776,28512635,9188,-,5453505,56317,1508366,2013069,580768,712326,687101,2321606,2671341,4243079,4275423,1832804,1567222,920024
경기도,수원시,2021,2015년 기준년가격(연쇄),32667337,2266362,30400661,11838,-,5908308,39138,1749555,2034419,626526,692825,718997,2648746,2767100,4514420,4508686,1937140,1711876,905576
경기도,성남시,2019,2015년 기준년가격(연쇄),41967488,3004315,38967845,3142,-,4264132,329280,1123937,3753975,599159,788959,10738814,2278315,3511190,6735070,930737,1633223,1294020,953054
경기도,성남시,2020,2015년 기준년가격(연쇄),43815319,3115412,40705387,3136,-,4347796,437667,1687164,3917412,464316,651631,12105613,2543722,3595943,6291045,1031599,1576161,1306606,755155
경기도,성남시,2021,2015년 기준년가격(연쇄),45085311,3266314,41822363,3517,37,4564639,386293,1635857,3877409,518017,656186,12276501,2928979,3917891,6292422,1037125,1627819,1415431,752027
경기도,의정부시,2019,2015년 기준년가격(연쇄),6997227,628975,6368758,2163,17696,309094,170797,606952,630965,234276,238116,118962,484863,725964,452784,855586,544976,652377,324439
경기도,의정부시,2020,2015년 기준년가격(연쇄),6747928,596683,6151835,1935,14321,271635,158579,525603,590620,208279,209941,145384,532879,728005,389026,918379,536175,689948,240709
경기도,의정부시,2021,2015년 기준년가격(연쇄),6705270,564441,6141965,2010,14632,245223,153229,546622,577558,210220,198935,132796,543979,727364,345333,940420,560183,723395,225643
경기도,안양시,2019,2015년 기준년가격(연쇄),18211619,1314333,16899143,425,21461,3038816,187948,816099,1579707,535165,378521,1978613,1270988,1472502,2966638,630407,874278,787202,399210
경기도,안양시,2020,2015년 기준년가격(연쇄),16885535,1272441,15612728,390,18682,3246750,280559,719952,1269727,368727,296996,1360874,1209842,1499827,2760592,645418,888931,762903,318997
경기도,안양시,2021,2015년 기준년가격(연쇄),17210240,1257976,15953854,618,17513,3297202,246665,787821,1338952,359814,293038,1397182,1378055,1501476,2691891,667612,891152,821379,315878
경기도,부천시,2019,2015년 기준년가격(연쇄),16875601,1444809,15432080,3356,-,4375121,138656,663560,1481507,428160,475904,299678,1267594,1674347,1470140,403478,1071452,1168171,525315
